Name,Author,Description,Inspired by,Music style,Created on,Demo,# votes,Rating,Amp style,Tap,PowerLevel,Edit2,Edit3,Volume,Treble,Middle,Bass,Effect2,Master,Gain,Edit1,Effect1,Red-Green,Edit2Hold,TapOnOff,AmpPower,Original order
Metallica's clean,timmie,use the 99 presets button on orange,"Metallica, Sanitarium",Clean Metal ,01/09/2011,,0,,,,,,,,,,,,,,,,,,,20,221
ACDC - shook me all night long,rodolfoleal,the tone its better in power chords,"AC/DC, shook me all night long",treeble boost ,30/08/2011,,0,,4,93,0,40,43,36,32,63,87,10,50,77,44,6,1,1,0,20,225
true rock,mar2,my first tone creation,-,Hard Rock ,21/08/2011,,0,,7,2,53,36,74,44,59,41,78,10,34,67,29,6,3,1,0,20,226
Boston - more than a feeling,rodolfoleal,"use the (acoustic) effect in the firts part of the track, then use the gold drive for the solo and bridge","Boston, more than a feeling",like Tom Scholz to ,16/08/2011,,0,,6,56,38,70,76,50,55,55,87,11,47,34,50,8,2,1,0,20,229
Beatles lead tone,rob66,played on a 52 reissue telecaster,"The Beatles, cant buy me love",Rock and Roll ,14/08/2011,,0,,6,10,0,50,43,50,60,60,61,9,41,39,50,1,2,0,0,120,230
Status quo,rob66,Played on a 52 reissue telecaster.,"Status Quo, Paper Plane",Rock,14/08/2011,,0,,8,10,0,39,42,58,60,49,39,10,41,60,0,1,2,1,0,20,231
Shadows tone,rob66,usded with a u.s.a strat with e.m.g pickups,"Shadows, 50 Golden greats",Rock and Roll ,14/08/2011,,0,,1,10,0,56,55,100,60,50,0,9,41,38,0,1,2,1,0,120,232
psycobilly,decay666,this is a great 50s esq tone i use it for stuff like the cramps as well ass some of my tunes,"the cramps, i was a teenage werewolf",Garage/Rockabilly ,09/08/2011,,0,,3,2,6,44,34,100,90,51,2,9,100,52,71,6,2,1,0,20,234
the gories - thunderbird esq,decay666,this is one of my favirote songs and a great tone,"the gories, thunderbird esq",garage Punk ,19/07/2011,,0,,2,10,7,0,0,100,64,50,15,1,100,58,17,6,3,1,0,20,236
Floods Outro/nice echo,thecowboyfromhell,"I mostly do pantera tones, and i did this one a few minutes ago and it sounds pretty good (this is for the floods outro) as simple as it is! enjoy","PanterA, Floods Mainly",EchoFading ,09/07/2011,,0,,6,10,100,32,100,100,36,0,100,10,7,51,40,10,1,1,0,40,237
