Name,Author,Description,Inspired by,Music style,Created on,Demo,# votes,Rating,Amp style,Tap,PowerLevel,Edit2,Edit3,Volume,Treble,Middle,Bass,Effect2,Master,Gain,Edit1,Effect1,Red-Green,Edit2Hold,TapOnOff,AmpPower,Original order
comfortably number,dansrockin,played on a tele with a neck humbucker,"Pink Floyd, David Gilmour - comfortably numb",Blues Rock ,07/03/2011,,3,5,4,3,46,34,28,55,46,70,61,10,39,40,81,11,3,1,0,20,271
Metal solo + delay,luisimlauer,"Metal tone for solos + delay, i use a strat and i love how it sounds",-,Metal Solo ,30/03/2011,,2,5,8,4,19,62,81,41,74,49,70,10,75,34,22,1,3,1,1,80,269
Metallica – One,antonds08,The clean sound in Metallica's one from ...And justice for all.,"Metallica, One",Clean ,05/01/2013,,1,5,1,10,28,29,47,36,74,29,85,2,33,46,25,1,2,1,0,20,15
"Gary Moore ""Still got the Blues""",spirit57,"My favourite setting for Gary Moore Sound in AC30. This sound is inspired by the great and unforgettable Gary Moore. A wonderful silky lead tone. The gary moore's sustain sound... . Les Paul Standard Neck Pickup Tone 6-7, Volume 5-6.Inspired by: Gary Moore , Still got the Blues",-,Blues High Sustain ,28/06/2012,,1,5,6,3,18,0,50,48,17,24,98,11,47,50,0,1,1,1,0,40,68
rory gallagher,seelwinterwolf,the tone for rory's live,-,Rock ,01/06/2012,,1,5,3,5,64,11,20,69,74,54,43,9,5,27,100,8,2,1,0,20,80
Robben Ford Drive,atom,Dumble Drive Tone,-,Blues ,20/05/2012,,1,5,11,10,37,0,43,71,0,34,37,1,15,57,0,1,1,1,0,40,90
My Acoustic Tone,irondave666,GUITAR ( ESP LTD M-100FM ) Volume 10 Tone 1-2 Pickup Switch-middle,"Judas Priest, Dreamer Deceiver/Sad Wings Of Destiny",Acoustic ,23/04/2012,,1,5,1,57,27,0,18,100,90,47,100,1,37,16,0,1,2,1,0,20,102
best green day tone,bazman666,This the base of billies sound.. I'm using a start copy same as his with Seymour duncan pickups ....change to amp between box AC30.. us high gain and BTq metal to get all the different sounds billie has... enjoy,"Green day, all tracks",Punk Rock ,26/03/2012,,1,5,9,10,33,0,0,37,98,28,65,1,35,74,0,1,1,1,0,20,117
acthung tone,thffkwka,Until the end of the world,"U2, acthung baby",crunch ,23/01/2012,,1,5,6,1,0,56,44,78,81,63,32,10,0,84,53,7,2,18,0,20,169
Nothing else Matters,marviglass,limpio metallica,"Metallica, 08-black",heavy ,10/01/2012,,1,5,1,685,20,0,0,97,82,68,42,11,50,50,46,2,2,1,0,40,172
bridges burning - foo fighters,mattjb14,the louder the better ;),"Foo fighters, wasting light",Rock ,18/11/2011,,1,5,6,10,68,0,15,80,65,25,56,1,26,61,100,7,2,1,0,20,200
Dos tierras - Heroes del silencio,strada,"I just find it, if you have any modification please let us know","Heroes del silencio, Entre dos tierras",Rock en espaol ,01/10/2011,,1,5,2,9,82,41,17,37,49,61,44,11,92,62,0,1,2,50,0,40,212
late 80's Guitar Hero,vintagevacuumtube,Think in shred!!!,-,Solo Guitar Hero ,24/01/2011,,1,5,9,3,18,35,0,94,84,65,76,10,50,95,50,1,3,0,0,20,282
Nashville,vox_tom_usa,"Tap the TAP tempo button like you would double-click a mouse to get the speed really fast. While holding the TAP button, adjust the depth knob until there is only one repeated echo.",-,Country ,11/01/2011,,1,5,1,1,44,42,41,40,84,88,40,9,95,37,9,1,1,1,0,40,317
Blues/Rock,voxrocks55,"USE MANUAL SETTINGS. I find this to be a fantastic setting for any blues/rock style of riffing on my Fender with woodstock+ pickups, but I do use a custom phase90 pedal in front of the amp for Hendrix Machine Gun to get the psychedelic swirling effect. Love this amp.","JHendrix, Machine Gun",Creamy overdriven ,15/05/2011,,3,4.6,6,10,42,33,55,47,44,43,54,11,45,50,33,1,3,0,0,20,262
Calling Dr Love,andycrane,Calling Dr Love - Kiss tone,-,Rock ,12/01/2011,,3,4.6,6,10,16,0,0,100,75,32,100,1,20,100,0,1,1,1,0,20,295
AC/DC basic tone,jonasvox,"I´m using my Les Paul for this tone, but it might sound much better with a SG. There are different sounds of AC/DC for sure, but this sound give you an basic idea of it. Have fun with this tone and stay tuned.",-,Rock ,15/04/2012,,3,4.5,7,10,22,0,38,53,61,85,23,1,66,62,33,1,3,1,0,40,106
Classic Crunchy Overdrive,schniepel89xx,"just a classic tube overdriven sound with a touch of spring reverb. sounds great for blues rock, classic rock and &#39;70s hard rock. for a lead sound, you can either go from tube od to gold drive in the pedals section or move the gain knob on the amp to about 3 o&#39; clock.",-,Rock 70s Hard Rock ,05/04/2012,,2,4.5,2,3,9,0,60,100,73,93,86,1,100,50,26,7,3,1,0,40,114
Stairway intro,jack1181,First time effort,"Led zep, stairway",Harmonic ,03/02/2012,,2,4.5,2,10,22,26,22,36,34,56,47,10,19,17,20,1,2,1,0,20,164
Another brick in the wall solo,grattmod,"The Gilmour's sound in ""another brick in the wall""","Pink Floyd, Another brick in the wall",Rock ,23/12/2011,,2,4.5,1,10,23,23,44,51,100,100,56,9,50,49,18,7,2,0,0,20,179
80's thrash metal,vegas,A possible solution for the album called Kill em All. Please let me know about your opinion on this one!,"Metallica, Kill em All",Thrash metal ,01/09/2011,,2,4.5,7,10,33,0,77,100,100,13,83,1,14,81,64,6,3,1,0,20,224
Nu Metal,vincentparker,Guitar Volume at half and tone 1/4 sounds great with Meteora album. play along!!,"Linkin Park, Faint",Nu Metal ,23/01/2011,,2,4.5,9,550,33,0,0,49,55,47,31,1,49,100,15,7,2,1,0,20,284
Red Hot Chili Peppers TrueTone,tincho77,"Great clean-crunchy tone for songs like Californication, Soul to Squeeze, Otherside, Dani California, etc.","Red Hot Chili Peppers, Californication/By The Way/Stadium Arcadium",Rock ,03/01/2012,,7,4.2,4,10,27,0,45,51,55,94,97,1,53,40,38,1,2,1,0,80,175
Slash tone - Amazing sweet sound for Les Paul,macszc,CHOOSE MANUAL PRESET MODE! I play Epiphone Les Paul Standard and these settings are really great for me. For Live Era it sounds damn good when you turn the bridge pickup tone almost to 0. I hope you&#39;ll enjoy it!,"Slash, Appetite For Destruction Use Your Illusion Live Era",sweet distortion ,10/02/2012,,6,4.2,9,6,62,41,71,61,99,72,61,9,7,59,64,10,3,1,0,40,154
Gary Moore Inspired,rob2,This sound is inspired by the great and unforgettable Gary Moore. A wonderful silky lead tone that makes your Paula sing. Check it out and use your fingers!,"Gary Moore, Still got the Blues",Heavy Blues ,18/04/2011,,3,4.2,8,1,48,0,50,85,17,100,91,1,13,55,0,1,3,1,0,20,264
Cemetery Gates Intro,andycrane,My Cemetery Gates Intro,-,Metal ,12/01/2011,,3,4.2,1,21,18,100,93,100,100,21,90,2,16,60,100,2,2,1,0,20,296
Acoustic Song,emosnow,Acoustic ...very close to a real acoustic guitar...subscribe,-,Acoustic ,18/12/2011,,4,4,5,2,21,0,20,100,25,65,66,9,66,23,95,2,2,0,0,20,184
Amazing Red Hot Chili Peppers Tone,timmie,good tone for playing songs of the stadium arcradium album and the californiaction album.,"Red Hot Chili Peppers, Californication",Rock ,01/09/2011,,4,4,4,10,48,0,0,50,51,100,99,1,31,44,0,1,2,1,0,20,223
Drop D Metal Tone,fgaladri,IÂ´m using a Vox Virage SC Jet Black.,-,Metal ,05/08/2011,,3,4,10,10,26,0,13,80,85,50,34,1,24,70,60,7,2,1,0,80,235
Mark Knopfler sound,thimpt,For a lot off Dire Straits straits songs,-,Pop/Rock ,04/06/2011,http://www.youtube.com/watch?v=Lz1TlJGLzqs,3,4,6,3,13,36,93,52,64,24,23,9,12,56,50,1,1,13,0,80,254
Black Sabbath 1978 Live DVD Never Say Die,irondave666,GUITAR ( ESP LTD ) Volume 10 Tone 10 Bridge Pickup Standard Tuning.Please rate this tone,"Black Sabbath, 1978LiveNeverSayDie",Rock Metal ,24/04/2012,,2,4,8,654,81,0,17,79,100,5,31,1,79,100,0,1,1,1,0,20,98
David Gilmour,cmbeal317,Used with a Strat with a single coil bridge pickup.,-,Rock ,25/01/2012,,2,4,2,10,25,51,58,23,72,76,0,11,34,100,50,1,3,1,0,20,167
Master of Puppets (distorted),vegas,Settings for MoP. I use DR Dimebag signature strings so I had to lower the bass a bit.,"Metallica, Master of Puppets",Thrash Metal ,12/11/2011,,2,4,7,5,16,0,16,69,83,20,67,1,100,70,100,6,3,1,0,20,202
Mark Knopfler's Vintage Sound,paranomos,Any improvement is welcome!!!,-,Vintage ,09/11/2011,,2,4,3,975,35,0,75,66,85,41,31,9,13,63,37,1,2,0,0,40,204
US 2x12 Blues,robrocks7,Dirty Blues,-,Blues ,18/06/2011,,2,4,4,10,33,27,43,50,50,35,62,9,50,44,36,1,1,1,0,20,247
smooth lead for my G&L,ferris73,have your amp set on manual. kinda stole it from a youtube vid so i can't really take credit for this.,-,Rock,14/03/2011,,2,4,8,10,38,0,25,73,35,49,50,10,14,63,48,8,2,1,0,20,270
80's Clean,vox_tom_usa,Clean chorused guitar tone straight out of 1986.,-,any ,11/01/2011,,2,4,1,10,40,41,69,61,93,84,82,11,40,44,35,1,2,1,0,40,314
Metal/death metal/melodicmetal,zwamzel,Metal/death metal/melodicmetal style. It took me 2 hours to get it fine tuned but now it's just perfect!,-,Metal/death metal/ ,30/01/2013,,1,4,8,229,0,0,0,58,100,38,97,1,60,89,66,8,3,1,0,40,11
emg crunch,damienvox,Great crunch and well defined force,-,overgriven crunch ,10/11/2012,,1,4,,,,,,,,,,,,,,,,,,120,33
AC/DC Real Tone,autlos,I don't like any of the ACDC settings posted before. I show you mine. You don't need ped,"AC/DC, Live",Hard Rock ,16/05/2012,,1,4,,,,,,,,,,,,,,,,,,20,92
Radiohead-Just Clean Tone,ejsim,"This is close (in my opinion) to the clean part in the verse, played by Jonny Greenwood.","Radiohead, Just/The Bends",Alternative Jazzy ,11/03/2012,,1,4,6,30,42,27,14,55,58,60,58,4,25,43,40,1,2,1,0,40,122
Acoustic Clone,canadiandave,"Going for the sound of my Martin acoustic, no bells or whistles, tell me how to make it better !!",-,Acoustic ,26/02/2012,,1,4,3,10,13,0,16,81,44,69,69,1,71,11,97,2,3,1,0,20,136
BassGuitar on you Electric,stepath18,Do you need a bass guitar for your records but you don't have anyone to play for you? Here is a tone that great your Electric to a Bass guitar!!!! What do you think????,-,Bass Guitar ,07/02/2012,,1,4,1,10,38,0,18,41,12,6,100,1,59,44,100,5,2,1,0,20,158
Knocking On Heaven's Door Solo 1,lucasalba,This is a amazing solo!,"Slash, Knocking On Heaven39s Door",Hard Rock ,03/12/2011,http://www.youtube.com/watch?v=ToSHtiWnaEQ,1,4,8,10,32,63,46,50,44,54,55,9,34,68,44,1,1,1,0,20,190
I love rock n roll by joan jett,mrzz,Tone that sounds like Joan Jett's guitar!,"joan jett, I love rock n roll",Rock,02/11/2011,,1,4,9,10,34,0,59,63,79,62,86,1,64,32,68,8,3,1,0,80,206
surfs up,decay666,"great surf garage tone, set the tremolo as fast as you possibly can",-,surf/garage ,09/10/2011,,1,4,4,1,6,65,58,97,77,3,2,5,99,37,63,6,2,1,0,20,210
80's rock lead tone,afd4evr,this is my lead tone... careful.. it can get loud!!!,-,80s rock ,10/09/2011,,1,4,9,10,21,0,74,100,80,70,71,1,93,100,95,7,2,1,0,40,218
Journey – faithfully,rodolfoleal,use the chorus + delay,"Journey, faithfully",journeys tone ,17/08/2011,,1,4,6,162,36,60,94,25,55,54,84,11,50,78,40,8,2,45,0,20,228
Guns n Roses,ammo,yhis tone is very good! try this,-,Hard Rock ,04/07/2011,,1,4,10,10,8,0,12,68,81,45,48,10,41,70,100,6,1,69,0,40,241
WhiteMetal,theseeman,Badass! but Simple,"Prototype, The Way It Ends",Metal ,27/02/2011,,1,4,10,10,100,0,0,100,100,67,77,1,6,100,50,7,1,1,0,40,275
Lonely,jwgreg,Raw Raconteurs Style - 1st Tone so still a work in progress. Please feel free to take and improve upon,"Raconteurs, Consolers of the Lonely",Raw Jack White sty ,25/01/2011,,1,4,11,189,24,0,14,93,86,15,80,1,42,64,15,1,1,1,0,40,281
Stone sour,bignick99,"Kind of a generic SS rhythm tone, add some tube OD for the lead parts and boost the mids with a touch of delay. And don't forget the C# drop B tuning.","Stone Sour, Get inside",Metal/Rock ,15/01/2011,,1,4,9,918,42,0,70,49,70,18,82,1,83,98,0,7,2,1,0,40,291
How Many More Times (post-wah intro),vox_tom_usa,"Verse sound, post wah intro.","Led Zeppelin, How Many More Times / Led Zeppelin I",Classic Rock ,11/01/2011,,1,4,6,10,43,0,0,100,87,100,84,1,43,40,58,11,3,1,0,40,310
AC30 Dirty Rhythm,vox_tom_usa,"Great sounding dirty rhythm guitar tone for blues, rock, country, and more.",-,Blues Rock Country ,11/01/2011,,1,4,6,10,42,0,0,65,43,57,63,1,39,42,0,1,2,1,0,40,319
Phasey,vox_tom_usa,Try to get the speed of the phaser relatively slow.,"The Clash, Jimmy Jazz/London Calling",any ,11/01/2011,,1,4,2,13,39,30,0,63,64,64,56,4,36,28,0,1,2,1,0,40,323
John Petrucci - Damage Control,fgaladri,"This is a Damage Control Tone! IÂ´m using a Vox Virage SC Jet Black. Hambucker position. You guys can use this tone in a brigde or neck pickup position. Be careful with the NR sens! If you want that Intro tone, just turn off the delay!","John Petrucci, Damage Control",Heavy Metal ,08/07/2011,http://www.youtube.com/watch?v=fCwyrmP9bOo,5,3.8,10,6,59,34,0,73,62,29,49,10,26,97,64,7,3,50,0,80,239
Comfortably Numb,boblisic,Must have a external compressor in front (MXR = Output 12 o'clock Sensitivity 11 o'clock,"David Gilmour, Comfortably Numb / The Wall",Lead ,15/01/2011,,3,3.7,7,4,13,13,0,88,61,18,77,10,38,40,50,7,3,1,0,40,290
Remembering Stevie,vintagevacuumtube,A Texas Blues solo tone that Stevie could have used.,"Stevie Ray Vaughan, Pride and Joy",Texas Blues ,22/01/2011,,3,3.6,4,327,17,0,43,90,55,65,75,1,50,61,65,7,2,1,0,20,285
She Said She Said,vox_tom_usa,Classic psychedelia from the Fab Four.,"The Beatles, She Said She Said / Revolver",Classic Rock ,11/01/2011,,3,3.6,6,10,43,0,0,100,61,62,69,1,40,43,0,1,2,1,0,40,307
Slash -Welcome to the Jungle,jbnsk8,"slash tone, intro",-,Hard Rock ,18/02/2012,,3,3.5,9,10,20,88,50,60,59,68,63,10,28,50,35,7,3,1,0,40,146
JazzyGuitar,fgaladri,"IÂ´m using a Vox Virage SC jet black. Neck position, P90 position, Tone 6",-,Jazz ,08/12/2011,,3,3.5,4,10,66,0,42,78,60,55,57,1,46,38,9,1,2,1,0,80,187
Pink Floyd - Shine On You Crazy Diamond solo,teachergala,PINK FLOYD shine on you crazy diamond guitar solos,-,Gilmour Style ,13/09/2011,http://www.youtube.com/watch?v=CtELcliaDeA,3,3.5,5,5,100,50,84,92,90,22,32,11,18,35,32,1,2,50,0,40,215
Slash - Appetite For Destruction tone,lespaulplaya93,"An exact AFD tone, I use a les paul standard with Seymour Duncan Alnico 2 Pro Slash Sig. pickups. This sounds like you're actually playing a Marshall AFD 100 Slash Sig. amp","Slash, Appetite For Destruction",Rock ,10/08/2011,,3,3.5,9,400,9,0,84,59,100,100,100,1,33,100,100,6,2,1,0,20,233
Acoustic Guitar,stepath18,"on my Stagg SW203CETU-BK, with flat EQ on the guitar and 2/3 volume",-,Acoustic ,28/02/2012,,2,3.5,2,10,40,0,22,50,56,48,37,1,24,50,51,2,1,1,0,20,131
Acoustic miked up,canadiandave,"Looking for that near impossible to get tone of a miked up Gibson/Martin acoustic via electric model, opinions MOST WELCOME, open to any ideas , Roll the tone off a couple o&#39; notches on your guitar to suit your own taste...7 - 8 suits me :)",-,Stage miked Acoust ,23/02/2012,,2,3.5,3,10,26,0,14,85,57,67,80,9,65,18,93,2,2,1,0,20,139
US High Gain Dual Rectifier,robrocks7,Mesa-Vox,-,Rock ,18/06/2011,,2,3.5,9,10,31,35,43,54,50,43,71,9,50,86,15,1,1,1,0,20,245
Fuzz It Up,vox_tom_usa,Expand your mind with this psychedelic fuzz.,-,Psychedelic ,11/01/2011,,2,3.5,1,10,39,0,0,66,61,61,62,1,37,64,88,11,3,1,0,40,315
Slow Blues Heaven,syed_vox,Note: PLAY IT ON MANUAL............ This is an amazing tone just to play by yourself or with your band. I love the tone try it. Try rolling off the volume and tone on you guitar to about 2-4ish for best results.,-,Slow Blues ,16/04/2011,,5,3.1,6,10,14,0,26,39,30,73,22,1,91,63,32,11,2,1,0,20,265
ACDC – Highway to hell,caripu,"Setup for this classic theme of AC/DC. Bridge pickup (humbucker), tone knob full, volume knob full.","AC/DC, Highway To hell",Hard Rock ,22/05/2011,,3,3,7,10,0,0,42,50,56,81,22,1,60,62,50,1,3,1,0,40,258
THE Cranked Plexi Tone,quijeebo,You know it's right,-,Rock And Roll ,12/01/2011,,3,3,7,16,100,0,0,100,100,100,100,1,100,100,0,1,1,1,0,120,294
Eddie Cochran Style rockabilly,montjoem,Sound come closer Eddie's amplifier,"Eddie Cochran, cmon everybody",rockabilly ,24/07/2012,,2,3,2,10,5,23,0,36,62,66,59,1,66,61,0,6,3,1,0,40,60
No More Zakk!,fgaladri,IÂ´m using a Vox 33 series guitar! Enjoy!,"Ozzy Osbourne, No More Tears",Heavy Metal ,09/04/2012,,2,3,7,5,63,29,0,90,63,35,46,10,41,62,67,8,3,1,0,80,112
Rock you like a hurricane Sound,lucasalba,"This is a most sound, i love it","Scorpions, Love at First Sting",Hard Rock ,07/03/2012,,2,3,1,68,32,0,53,43,80,40,61,1,33,37,75,10,3,1,0,20,128
Pink Floyd – Time,teachergala,Time Guitar solo,-,David Gilmour Styl ,14/09/2011,http://www.youtube.com/watch?v=JyDwT-z9Id0,2,3,8,10,100,48,93,100,98,91,65,11,10,32,52,9,2,20,0,40,214
Hiss-Sound,jerdix,"Play with palm-mutes and take your guitar-tone low (1 or 2) and you can hear the ultimat ""VOX-hiss-sound"". Sounds like snare-drum.",-,VOX - cruel-sound ,19/01/2011,,2,3,6,10,35,0,0,61,100,50,40,1,100,51,0,1,2,1,0,20,288
House of the Rising Sun,andycrane,My House of the Rising Sun tone,-,Rock and Roll ,12/01/2011,,2,3,2,10,14,0,26,66,100,72,28,1,35,38,100,6,2,1,0,20,293
Blues Lead,vox_tom_usa,Classic blues sound.,-,Blues ,11/01/2011,,2,3,4,10,45,0,37,67,88,100,100,1,44,76,0,1,3,1,0,40,313
Hard Rock of the 70's-80's,blahman179,"Inspired by the Hard Rock of the 70's and 80's like Led Zeppelin, Boston, GnR, etc.",-,Hard Rock ,23/05/2012,,1,3,6,10,18,0,0,17,43,61,74,1,18,100,58,8,2,1,0,20,89
Perfect Hard Rock Tone,megawoopi,You can also turn up treble a bit. Should sound awesome :),"AC/DC, Highway to Hell",Rock ,27/03/2012,,1,3,4,86,64,0,0,58,89,100,65,1,6,98,30,1,2,1,0,20,116
SRV – Lenny,jukolanpoika,Goes for Lenny and other slow songs by SRV. You need to have Texas Special-pickups to achieve SRV sound.,"Stevie Ray Vaughan, Lenny",Blues ,24/02/2012,,1,3,4,10,25,0,0,66,64,75,82,1,19,51,50,7,2,1,0,20,138
jimmy page how many more times,alexandrenaweb,"I try to find this tone... i hope you enjoy. For intro use auto wah, for solos fuzzzzzzzzzzzzzzz","Led Zeppelin, Jimmy Page - How many more times",50W Plexi ,05/12/2011,,1,3,7,10,19,0,38,85,77,50,80,1,100,60,0,1,1,1,0,20,188
Led Zeppelin - rock n roll,rodolfoleal,use the max treble in the solo,"Led Zeppelin, rock and roll",page tone ,17/08/2011,,1,3,7,10,41,43,46,31,67,74,69,10,50,41,44,8,3,21,0,20,227
UK Rock Brian May,robrocks7,British Rock,-,Rock ,18/06/2011,,1,3,7,10,32,44,41,50,62,50,67,9,50,87,18,1,3,1,0,20,248
Foo Fighters Crunch,rdb121775,I play this off of my bridge (Burstbucker 2) pup. It works really well for Rope and Arlandria.,"Foo Fighters, Wasting Light",Rock/Crunch ,26/05/2011,,1,3,7,10,32,0,37,76,57,46,47,1,74,53,0,1,3,1,0,80,255
very crunchy blues,napalmrain,"adding anymore reverb kinda kills it, but i like a little bit of CE chorus on it sometimes too. This is great for heavy blues soloing, has kind of a les paul sound out of my Ibanez rg5ex1",-,Blues ,03/03/2011,,1,3,1,10,58,0,8,100,83,37,100,1,9,100,100,7,1,1,0,40,273
Mark Knopfler / Dire Straits Tone,jerdix,Tone especially for finger-picking,"Mark Knopfler, Sultans of Swing",Strat-Style ,14/01/2011,,1,3,4,10,17,0,50,54,78,48,48,1,47,21,0,1,3,1,0,20,292
Won't Get Fooled Again,vox_tom_usa,Do some windmills!,"The Who, Won39t Get Fooled Again",Rock ,11/01/2011,,1,3,7,10,38,0,38,100,95,43,35,1,41,60,0,1,1,1,0,40,302
Slow Rotating Speaker,vox_tom_usa,Try to get the speed of the motor to be as slow as possible. Great for arpeggiating open chords and slow finger picking.,"Cream, Badge/Goodbye",Classic Rock ,11/01/2011,,1,3,2,37,37,50,6,91,82,96,94,6,36,50,0,1,3,1,0,40,322
The Jam crunch,willpittabread,Use a single coil pickup or a Rickenbacker for you lucky people :),-,Mod Rock ,23/02/2012,,2,2.5,6,10,7,0,25,60,100,0,0,1,15,93,0,1,2,1,0,20,141
Yngwie Malmsteen like,tuka3desu,It made hearing sound by video. It seems that it is necessary to adjust.,-,Hard Rock ,06/02/2012,http://www.youtube.com/watch?v=RrLCteQlkUY,2,2.5,7,10,95,6,55,72,35,34,90,11,82,78,93,8,3,1,0,20,161
Roses Waterfall,downsideup,Grab that Gretsch and play the John Squire way. Also good for some Johnny Marr Jangle - switch to a Rik or Tele for some This Charming Man type vibe.,"Stone Roses, Waterfall",Indie Jangle ,13/04/2011,,2,2.5,6,12,21,69,62,61,38,38,57,1,30,34,39,7,2,1,0,40,266
Auto wah,stepath18,for something new if you are bored with all the same:),-,Psychedelic Rock ,08/02/2012,,3,2.2,2,16,38,28,22,70,63,54,38,3,40,75,100,3,2,1,0,20,156
slash - Bad rain,slashyx,guitare: BC Rich Mockingbird Japan with emg 85 (neck)/81 (bridge)pickups,"Slash, Bad rain - apocaliptic love",Hard Rock ,21/01/2013,,1,2,9,2975,18,0,49,42,66,100,100,1,31,81,0,7,2,1,0,20,12
Rock Basix 101,canadiandave,"basic rock starting point, volume and tone full up or u loose the bite on the bridge pickup, not perfect yet, help required :)","AC/DC Sabbath, all n any",RocK ,26/02/2012,,1,2,7,10,16,22,17,100,30,71,74,9,45,100,100,8,1,1,0,20,134
Metallica Solo's,timmie,use the 99 presets button once till the light has turn orange,"Metallica, Death Magnetic",Metal ,01/09/2011,,1,2,8,10,49,0,0,53,100,100,0,1,33,100,0,1,2,1,0,20,222
godfather slash,lortlort,set the tone knob one your guitar to about 3. good tone for slash godfather theme. i use both pickups. you can adjust the power level as you want,"Slash, live",Metal Solo ,09/04/2011,,1,2,11,6,24,0,51,100,77,55,100,1,59,100,17,7,1,1,0,20,268
Boston - Don't Look Back,bunkie,This tone should cover most of the rhythm guitar sounds in the first two albums. Try this one fore More Than a Feeling as well.,"Boston, Dont Look Back",Classic Rock ,26/02/2012,,1,1,8,7,16,32,16,85,83,44,45,11,87,42,30,1,1,18,0,20,137
perfect alien tone,mrebaggott,this is a perfect tone if your bored and want to creat some futuristic noises on your guitar. make sure to use volume swells on your volume pot and enjoy!,-,space ,31/01/2012,,1,1,8,2,41,92,100,38,64,44,52,9,25,42,27,3,2,1,0,20,166
ACDC Highway tone,axelorenz,This is a pretty basic AC-DC rhythm tone from the highway to hell album. Just to give you a starting point to build off of. Note: you may want to back off the gold drive at higher power levels,"AC/DC, Highway To Hell album",Hard Rock ,22/01/2012,,1,1,7,10,21,0,0,50,43,57,73,1,48,100,21,8,1,1,0,40,170
gary moore sustain,grattmod,the gary moore's sustain sound...,"gary moore, parisienne walkways",Blues ,22/12/2011,,1,1,,,,,,,,,,,,,,,,,,20,181
Crispy Rock Distortion,papaholdy,"A nice rock/Blues /alt style sound. A nice crispy crunch without going into a more ""metal"" distortion (not that there is anything wrong with that...)",-,Rock Alt Indy ,12/04/2011,,1,1,7,10,63,0,41,55,100,81,18,1,33,100,0,1,2,1,0,80,267
High Gain Metal,simsdogg92,This is a great high gain metal tone for single coil pickups.,-,Metal ,20/01/2011,,1,1,6,4,8,60,44,100,62,100,62,10,100,75,0,1,1,0,0,40,286
Opeth like,wolf6,"The noise sensitivity has to be kinda high, about 60%","Opeth, Ghost Reveries",Progressive Metal ,11/01/2011,,1,1,11,10,62,0,18,32,71,90,69,1,17,91,0,1,1,1,0,20,300
Rock Lead 2,vladmo,Rock Lead 2 - Red 3,-,Rock Lead 2 ,21/10/2012,,1,,,,,,,,,,,,,,,,,,,20,41
MUSE Crunch,reddragon9800,Use a guitar with Humbuckers or a Strat! Sometimes add ORG PHASE at really low speed for certain,"MUSE, Most of their Songs",Prog Rock ,13/03/2013,,0,,,,,,,,,,,,,,,,,,,20,1
Green Day BEST!,reddragon9800,Requirments for best tone.. -Use an ES-339 or any Gibson/Epiphone with P-90 Pickups. -Use Bos,"Green Day, UNO DOS TRE",Punk ,13/03/2013,,0,,,,,,,,,,,,,,,,,,,20,2
Daybreaker,vegas,Please rate my tones!,"Architects, Daybreaker",Metalcore ,12/03/2013,,0,,,,,,,,,,,,,,,,,,,20,3
Hollow Crown,vegas,"Even though the 'US Metal - Red' simulates the Peavey 6505+, i think 'UK Metal - Gre","Architects, Hollow Crown",Metalcore ,12/03/2013,,0,,,,,,,,,,,,,,,,,,,20,4
Super Crunch,lucasmurphy,A very punch Crunch tone,-,Any ,11/03/2013,,0,,,,,,,,,,,,,,,,,,,120,5
papa roach no more secrets,vjiq,My papa roach tone. Sounds great.,"Papa roach, No more secrets",RockNew metal ,27/02/2013,,0,,,,,,,,,,,,,,,,,,,20,6
Kill 'Em All,eran8282,Maunual,"Metallica, Whiplash Jump in the Fire Motorbreath Hit the Lights The Four Horsemen",Trash Metal ,19/02/2013,,0,,6,831,35,0,20,100,100,9,66,1,11,69,63,7,1,1,0,20,7
sweet solo tone,charlos11,un sonido de solo con muchos medios y sustain,-,high gain ,15/02/2013,,0,,,,,,,,,,,,,,,,,,,80,8
Metallica - Unforgiven(clean),kuna,Manual,"Metallica, Unforgiven",Clean ,13/02/2013,,0,,4,1,18,0,47,100,82,49,30,1,31,34,26,1,2,1,0,40,9
Nightrain,mohamadjazbi,this how i like it. and my guitar is a les paul black beauty 3 ...,"slash, Nightrain",Rock ,31/01/2013,,0,,9,272,62,22,27,45,65,37,36,10,9,100,22,8,2,1,0,40,10
Metalic Bronze,crane,"Deep, Heavy, and entrancing to some degree if tweak to your own certain specifications.",-,Metal ,10/01/2013,,0,,8,7,94,46,42,19,100,100,100,10,97,100,37,10,3,30,0,40,13
Stevie Ray - Vaughan Texas Blues,scotthunter21,"Sounds pretty good my end. Beauty is, if you want his cleaner tone just simply role back the gain. Does the job for me","Stevie Ray Vaughan, Cold Shot/Pride and Joy",Texas Blues ,08/01/2013,,0,,9,10,18,0,21,34,73,60,100,1,18,26,48,1,2,1,0,40,14
Still waiting Sum 41,vjiq,Spesial for you,"Sum 41, Still waiting",Rock ,29/12/2012,,0,,,,,,,,,,,,,,,,,,,20,16
Fade to black,vjiq,your welcome,"Metallica, Fade to black",Rock ,29/12/2012,,0,,6,10,0,0,61,50,53,80,83,9,51,49,100,11,1,1,0,20,17
Green Day (Newer),reddragon9800,It sounds best if you use Tortex .88mm Sharp picks and pick pretty hard. Then you have the sound,"Billie Joe Armstrong, Nimrod to Now",Punchy and Crunchy ,28/12/2012,,0,,,,,,,,,,,,,,,,,,,20,18
ZZ TOP'S A RIPPIN',play4u2,Played in G aggressively.,"Billy Gibbons, La grande/Tres hombres",TEXAS BLUES/ROCK ,26/12/2012,,0,,,,,,,,,,,,,,,,,,,20,19
